product,hash / s,watt,price
Antminer L3+ (580Mh),580000000,942.00,72.79
Antminer L3+ (504Mh),504000000,800.00,58.23
AntRouter R3-LTC,11500000,23.16,140.00
AntRouter R1-LTC,1715000,4.43,70.00
A4 Dominator,280000000,1050.00,149.00
A4+ LTCMaster,620000000,750.00,1500.00
A6 LTCMaster,1230000000,1500.00,3000.00
L21,550000000,950.00,275.00
Apollo LTC Pod,100000000,100.00,299.99
Moonlander 2,5000000,10.00,49.99
